日付 (YYYYMMDD),題（タイトル）,カテゴリー,説明 ※3行以内,,,,,,,
20250203,オロチ狩り,イラスト,追われるオロチ＝これからのトークン価格上昇をイメージしました。,,,,,,,
20250204,オロチの夢守り,イラスト,金運・健康運アップの夢を描きました。,,,,,,,
20250205,ウロボロス開運ステッカー,イラスト,運もエネルギーも巡る。限りないご利益を願って描きました。,,,,,,,
20250206,Token-Off,イラスト,トークン売らないで！を表現しました。,,,,,,,
20250207,梅オロチ,イラスト,梅の香に導かれ、静かに運が芽吹く。春を待つ白オロチを描きました。,,,,,,,
20250208,カーネルオロチ,イラスト,気づけばカーネル風。クリプト界の味付けはオロチにお任せあれ。,,,,,,,
20250209,雲外蒼天,イラスト,希望と開運を胸に、上昇をイメージしました。,,,,,,,
20250210,開運給湯器06℃,イラスト,06℃(オロチ)急上昇で温めます！,,,,,,,
20250211,デコオロチ,イラスト,思いつくまま自由にデコってみました。開運は個性の先にあると信じて。,,,,,,,
20250212,キンタロオロチ,イラスト,どこを切ってもオロチ。ぎっしり詰まった開運のかたまりを表現しました。,,,,,,,
20250213,寝スマホ厳禁,イラスト,目を悪くする前にストップ。小さな習慣の見直しが、開運の第一歩です。,,,,,,,
20250214,バレンタイン,イラスト,甘くとろけるご利益を込めて描きました。,,,,,,,
20250215,彫刻オロチ展,イラスト,美術館で湧いたインスピレーション。静かな癒しと開運を込めました。,,,,,,,
20250216,ボッチオロチ,イラスト,静かに、景色の中で開運を祈るオロチを描きました。,,,,,,,
20250217,鯉蛇,イラスト,オロチを放流。静かに満ちる運気とともに、願いが広がっていきますように。,,,,,,,
20250218,ガチホでいこうぜ！,イラスト,開運オロチからペパハンさんたちへの警鐘を表現した作品。,,,,,,,
20250219,おろチロー,イラスト,気象予報士とおろチローが運気と天気をお届けする作品。,,,,,,,
20250220,ヘビの執念,イラスト,トークン早押し争奪戦に挑む者の覚悟の忍耐と執念を描きました。,,,,,,,
20250221,オロチを描くオロチ,イラスト,オロチ自身が筆をとり開運創作した作品。,,,,,,,
20250222,オロマウス,イラスト,開運アイテムを想像したら目の前のマウスがオロチになりました。,,,,,,,
20250223,うまれるやさしさ,イラスト,足りないからこそ生まれる思いやり。心と運の扉がそっと開きます。,,,,,,,
20250224,オロチ筆一閃,イラスト,運気を切り拓く力になると信じて描きました。,,,,,,,
20250225,オロチフェスティバル,イラスト,フェスがあるなら、全力でオロチ装って参戦したい気持ちを表現しました。,,,,,,,
20250226,オロチェち,イラスト,砂浜に描いた開運の文字。少しくずれても、それもまたよい思い出。,,,,,,,
20250227,オロチックアート,イラスト,感じてもらえたらそれで十分です。自由な線に開運を込めました。,,,,,,,
20250228,蛇獣戯画,イラスト,鳥獣戯画ならぬ蛇獣戯画。カエルもびっくり、でもこれは開運の追い風。,,,,,,,
20250301,オロチ世界遺産,イラスト,オロチがいつか世界遺産になってほしいという思いを込めて作りました。,,,,,,,
20250302,ひなオロチ,イラスト,ひな人形になったオロチが、皆さまの健やかな成長と開運をお祈りします。,,,,,,,
20250303,開運波図,イラスト,波にオロチを乗せました。開運の波が富士を超える日を願って描きました。,,,,,,,
20250304,SK-Ⅲ,イラスト,美しさの裏に秘めたる開運パワーをご堪能ください。,,,,,,,
20250305,オロチス,イラスト,トークン道をゲームから連想しました。”買っては売られ”を”積んでは崩れる”。,,,,,,,
20250306,中二病全開,イラスト,中二病全開で描いた、最強クラスの開運体です。,,,,,,,
20250307,いい時間、もろいそ,イラスト,やさしさに包まれたひとときが、確かな開運へとつながる気がしました。,,,,,,,
20250308,木霊,イラスト,古木に宿るオロチの姿を描きました。開運な神木。,,,,,,,
20250309,サンキューの日,イラスト,素直な「ありがとう」が、幸運を呼び込みます。,,,,,,,
20250310,親子オロチ,イラスト,親子のぬくもりとやさしさに包まれた時間をイメージして描きました。,,,,,,,
20250311,トークン買って係オロチ,イラスト,たくさんのくじらが来てくれることを願って描きました。,,,,,,,
20250312,駄々オロチ,イラスト,「おしゃれオロチ」を目指したが“黙して語らぬ異界の使者”になりました。,,,,,,,
20250313,ホワイトデー,イラスト,甘くとろけるご利益のおかえしを描きました。,,,,,,,
20250314,チュートリアル真似,イラスト,背景効果をYouTubeのチュートリアルを見ながら、描きました。,,,,,,,
20250315,細かすぎて伝わらないオロチ,イラスト,“こんな隠れオロチグッズ、あったらいいな”を想像して描きました。,,,,,,,
20250316,毎日創作部屋、始動,イラスト,開運オロチトークン「毎日創作部屋」室長に就任を記念して描きました。,,,,,,,
20250317,脱皮,イラスト,脱皮の兆し、ご利益おすそわけをイメージした作品。,,,,,,,
20250318,ぼっちオロチ,イラスト,ひとりでも運はそっと寄り添うと願いを込めて描いた作品。,,,,,,,
20250319,ワクワクすっぞ,イラスト,あの熱、オロチで再燃させて描いた渾身の１枚。,,,,,,,
20250320,We're lovin' it,イラスト,あのポテトの音が聞こえてきそうな作品。,,,,,,,
20250321,オロチ切り,イラスト,できる限り細いタッチで動きのあるオロチ目指して作りました。,,,,,,,
20250322,おろちのクレヨン,イラスト,描くだけで楽しく開運になれるクレヨンをイメージして描きました。,,,,,,,
20250323,朝と夕の間で,イラスト,神秘と渋さが交差する開運広告を作りました。,,,,,,,
20250324,ダリオロチ,イラスト,ねじれた先に、開運があると信じて描きました。,,,,,,,
20250325,武田家,イラスト,ウロコであり武田の手の者ではなかったので、その気持ちを表現しました。,,,,,,,
20250326,グローバル版オロチ,イラスト,國光トークン、ガチホトークン、その次は…,,,,,,,
20250327,人気なフェス,イラスト,ドージ君と共演、開運全開で描きました。,,,,,,,
20250328,花金,イラスト,個人的に大好きなFRIDAY’Sをオロチに変えてみました。,,,,,,,
20250329,約束の丘,イラスト,物語のワンシーンをイメージして描いた作品。,,,,,,,
20250330,空・愛・嵐,イラスト,スカイラブハリケーン。派手に上昇が開運のイメージにピッタリ。,,,,,,,
20250331,リスペクト400,イラスト,れおんさん400回連続お絵描きのお祝いイラスト。,,,,,,,
20250401,登録者2万人、おめでとう,イラスト,開運オロチトークン、登録者2万人を祝って描きました。,,,,,,,
20250402,開運口と厄運口,イラスト,人生の分かれ道を開運オロチで表現しました。,,,,,,,
20250403,細かすぎて伝わらないオロチ2,イラスト,カーテンの“シャー”にこっそり宿る開運オロチを表現しました。,,,,,,,
20250404,瞑想開運オロチ,イラスト,オロチたちが静かに瞑想する春を感じる作品。,,,,,,,
20250405,Cafeロゴ,イラスト,オロチをモチーフにしたロゴを制作しました。,,,,,,,
20250406,オロチ召喚,イラスト,積み重ねたものは裏切らないをCNPトレカで表現。,,,,,,,
20250407,開運オロチエナジー,イラスト,エナジーパワーを開運で表現しました。,,,,,,,
20250408,Isn’t Art,イラスト,深海のささやきが、オロチにだけ届く世界を表現しました。,,,,,,,
20250409,2年2ヶ月の配信お祝い,イラスト,なおなおさんの2年2ヶ月の配信お祝いを描きました。リスペクト。,,,,,,,
20250410,開運X,イラスト,Xに開運アタッチメントを取り付けました。,,,,,,,
20250411,開運の木,イラスト,未来を照らす、オロチのご神木。,,,,,,,
20250412,ORAはやめよう,イラスト,開運の道でも、乗るなら全力疾走。,,,,,,,
20250413,喫茶オロチでひと息,イラスト,昭和の香りに包まれた、癒しの開運ソーダを描きました。,,,,,,,
20250414,MAKE OROCHI GREAT AGAIN,イラスト,大統領をいじったオロチの作品。,,,,,,,
20250415,願いを込めて応援,イラスト,凪紗トークンに心からの開運エールを込めた一枚。,,,,,,,
20250416,無限オロチ拡散中,イラスト,広がり続けるご利益の連鎖を描きました。,,,,,,,
20250417,あの時は,イラスト,運命のすれ違いと出会いを表現しました。,,,,,,,
20250418,共にあらんことを,イラスト,運命を斬り拓け。フォースはオロチに宿る。,,,,,,,
20250419,開運サプライ,イラスト,オロチの尻尾と対象物が一緒だったので描いてみました。,,,,,,,
20250420,祝CNP RED,イラスト,ルビーを超えたご利益の赤、CNPREDに祝福を。,,,,,,,
20250421,スウォッチで開運,イラスト,散りばめたオロチが運を耕す風景を描きました。,,,,,,,
20250422,アイデア出ません会議,イラスト,降りてこなくても大丈夫。運はすでに座っているのを表現しました。,,,,,,,
20250423,地ビールの日,イラスト,クラフトビールのジャケットに開運を注いでみました。,,,,,,,
20250424,大漁節,イラスト,今日もご利益ザクザク表現しました。,,,,,,,
20250425,チャット・オロチーノ,イラスト,賢くて運もある上位モデルをイメージして作りました。,,,,,,,
20250426,チャット・オロチーノ2,イラスト,詐欺が増えてきたので注意喚起しました。,,,,,,,
20250427,V字で上昇,イラスト,どん底からの上昇をオロチで描きました。,,,,,,,
20250428,四葉の日,イラスト,四葉と開運は仲良しのイメージしました。,,,,,,,
20250429,応援する力,イラスト,凪紗とオロチ、想いをつなぐ応援のカタチを表現しました。,,,,,,,
20250430,開運オロチのぼり,イラスト,運も夢も風に乗って舞い上がっていってほしい気持ちを込めた１枚。,,,,,,,
20250501,愛を紡ぐ,イラスト,心のまま描いた線に、願いと開運を込めてみました。,,,,,,,
20250502,オロチャップ,イラスト,食べすぎたら、オロチャップでコミット。,,,,,,,
20250503,開運 No.1,イラスト,純粋な幸運への道を開く願いを込めました。,,,,,,,
20250504,開運 No.2,イラスト,幸運の光を集めることに願いを込めました。,,,,,,,
